content_id,content_old_id,content_name,content_description,views,reads,date_Data
46013,8611,CKD Screening in Type 2 DM,"Chronic kidney disease (CKD) screening in individuals with type 2 diabetes is essential to prevent progression to end-stage renal disease (ESRD). Patients with diabetes are at an increased risk of CKD, yet a significant proportion remain undiagnosed. Early detection is critical, as it allows for timely intervention to slow disease progression.[1] Screening typically involves measuring urinary albumin excretion (UAE), which helps identify early signs of kidney damage. Regular monitoring of UAE and estimated glomerular filtration rate (eGFR) can aid in the early identification of CKD.[2] Screening should begin at diagnosis in patients with type 2 diabetes and continue annually, as early intervention with lifestyle changes and pharmacologic treatments, such as ACE inhibitors or ARBs, can significantly reduce the risk of ESRD and improve long-term outcomes.Reference(s):1. https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02438-62. https://www.nature.com/articles/s41598-024-56765-0",229,75,"0,0,0,0,0,0,0"
46014,8612,Medical Management of Renal Stones,"Kidney stones affect 1 in 11 people globally, with a high recurrence rate within 5–10 years.[1] In India, about 2 million cases of urolithiasis are reported annually. Most stones are calcium-based (70–80%), followed by uric acid, cystine, struvite, and mixed types. Risk factors include genetic predisposition, metabolic syndrome, low fluid intake, and high intake of sodium, animal protein, and oxalate-rich foods. Common symptoms include renal colic, flank pain, hematuria, and urinary tract infections (UTIs).[2] Diagnostic evaluation involves KUB X-ray, ultrasound, intravenous pyelogram (IVP), or helical CT, which has a sensitivity of 97%.[1] Management includes increased fluid intake, adequate dietary calcium (1000–1200 mg/day) in recurrent calcium stone formers, and reduction of sodium and oxalate intake, along with correction of hypocitraturia.[1][3] Pharmacological options—based on stone type—include thiazides, Potassium citrate, Allopurinol, Pyridoxine, and Tiopronin.[3] Medical expulsive therapy with Tamsulosin, Nifedipine, and steroids helps facilitate ureteric stone passage.[1]Reference(s):1. https://journals.lww.com/indjem/fulltext/2012/16020/medical_management_of_renal_stone.14.aspx2. https://pmc.ncbi.nlm.nih.gov/articles/PMC5817324/3. https://www.bmj.com/content/352/bmj.i52.full",217,79,"0,0,0,0,0,0,0"
46016,8613,Renal Implications of Antidiabetic Drugs,"Diabetes is a chronic metabolic disorder marked by high blood glucose levels, leading to heart disease, nerve damage, and kidney issues. It has three types: Type 1 (autoimmune insulin deficiency), type 2 (insulin resistance linked to lifestyle), and gestational diabetes (temporary but increases future risk). [1] Global diabetes prevalence is projected to rise by 59.7% between 2021–2050, reaching 1.31 billion cases due to obesity (49.6%) and demographic shifts (50.4%).[2] Diabetic kidney disease (DKD) affects 20–50% of patients with type 2 diabetes, leading to chronic kidney disease (CKD).[3] Overall, managing diabetes involves lifestyle changes, medications, and early detection.Reference(s):1.  https://www.mdpi.com/1422-0067/22/14/76442. https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(23)01301-6/fulltext3. https://www.scirp.org/reference/referencespapers?referenceid=3820709",332,65,"0,0,0,0,0,0,0"
46017,8614,Diabetic Kidney Disease,"Diabetic kidney disease (DKD) is the leading cause of chronic kidney disease (CKD) and end-stage renal disease. DKD develops in around 40% of patients with type 2 diabetes mellitus (T2DM) and 30% of patients with type 1 diabetes (T1D).[1] It is a progressive condition marked by declining kidney function and increased albumin in the urine. The use of estimated glomerular filtration rate (eGFR) and urine albumin-to-creatinine ratio (UACR) is essential, even in patients who may not show overt symptoms like proteinuria. Tight glycemic control, blood pressure management, and renin-angiotensin system (RAS) blockade using angiotensin-converting-enzyme (ACE) inhibitors or angiotensin receptor blockers (ARBs) are crucial to slow the progression of DKD.Reference(s):1. https://www.sciencedirect.com/science/article/pii/S221339842030155X",187,36,"0,0,0,0,0,0,0"
46020,8615,Diabetic Kidney Disease,"Diabetic kidney disease (DKD) is the leading cause of chronic kidney disease (CKD) and end-stage renal disease. DKD develops in around 40% of patients with type 2 diabetes mellitus (T2DM) and 30% of patients with type 1 diabetes (T1D).[1] It is a progressive condition marked by declining kidney function and increased albumin in the urine. The use of estimated glomerular filtration rate (eGFR) and urine albumin-to-creatinine ratio (UACR) is essential, even in patients who may not show overt symptoms like proteinuria. Tight glycemic control, blood pressure management, and renin-angiotensin system (RAS) blockade using angiotensin-converting-enzyme (ACE) inhibitors or angiotensin receptor blockers (ARBs) are crucial to slow the progression of DKD.Reference(s):1.  https://www.sciencedirect.com/science/article/pii/S221339842030155X",138,27,"0,0,0,0,0,0,0"
46021,8616,Hypertension in CKD,"Chronic kidney disease (CKD) and hypertension (HTN) share a complex, bidirectional relationship—declining kidney function raises blood pressure, while sustained hypertension accelerates CKD progression. This harmful feedback loop is well-documented in both animal models and clinical studies. In the Chronic Renal Insufficiency Cohort (CRIC) study of 3612 adults with CKD, 86% reported hypertension compared to 29% in the general population. Hypertension becomes increasingly prevalent and harder to control as CKD advances.1 Intensive blood pressure lowering has been shown to reduce the risk of kidney failure events by 17% and end-stage kidney disease by 18%, especially in patients with proteinuria.2 Effective management of hypertension in CKD includes identifying the underlying renal pathology, setting appropriate BP goals, and implementing both non-pharmacological and pharmacological interventions.Reference(s):1. https://pmc.ncbi.nlm.nih.gov/articles/PMC4445132/2. https://pmc.ncbi.nlm.nih.gov/articles/PMC3735743/",519,191,"0,0,0,0,0,0,0"
46060,8622,Diabetic Kidney Disease,"Diabetic kidney disease (DKD) is the leading cause of chronic kidney disease (CKD) and end-stage renal disease. DKD develops in around 40% of patients with type 2 diabetes mellitus (T2DM) and 30% of patients with type 1 diabetes (T1D).[1] It is a progressive condition marked by declining kidney function and increased albumin in the urine. The use of estimated glomerular filtration rate (eGFR) and urine albumin-to-creatinine ratio (UACR) is essential, even in patients who may not show overt symptoms like proteinuria. Tight glycemic control, blood pressure management, and renin-angiotensin system (RAS) blockade using angiotensin-converting-enzyme (ACE) inhibitors or angiotensin receptor blockers (ARBs) are crucial to slow the progression of DKD.Reference(s):1. https://www.sciencedirect.com/science/article/pii/S221339842030155X",2032,639,"0,0,0,0,0,0,0"
46062,8624,Anemia in Chronic Kidney Disease,"Anemia is a common complication of chronic kidney disease (CKD).[1] Anemia refers to a decrease in the number of RBCs or the amount of hemoglobin in the blood. It is relatively uncommon in stages 1-2 of CKD; however, almost 90% of patients with a glomerular filtration rate (GFR) less than 30 mL/min are anemic. Also, the prevalence of anemia in CKD increases as the CKD stage increases. For the evaluation of anemia in CKD, the initial tests must include a variety of tests, including complete blood count (CBC), serum ferritin, serum transferrin saturation (TSAT), absolute reticulocyte count, serum vitamin B12 and folate levels. Iron therapy is a commonly adopted approach for the treatment of anemia in CKD.[2]Reference(s):1. https://pmc.ncbi.nlm.nih.gov/articles/PMC11200696/2. https://pmc.ncbi.nlm.nih.gov/articles/PMC7863960/",164,63,"0,0,0,0,0,0,0"
46067,8629,Cardiorenal Syndrome,"Cardiorenal syndrome refers to the interdependent dysfunction of the heart and kidneys, where acute or chronic dysfunction in one organ induces dysfunction in the other. The pathophysiology is complex, involving the renin-angiotensin-aldosterone system (RAAS), nitric oxide-reactive oxygen species (NO-ROS) imbalance, inflammation, and sympathetic activation.[1] Five types of cardiorenal syndrome are recognized, each defined by the primary organ dysfunction, with a novel sixth type, chronic secondary cardiorenal syndrome, also proposed. Patient history, clinical examination, and management aid in understanding the condition, while specific biomarkers for the heart and kidneys play a crucial role in diagnosis. Ultrasound is preferred for imaging, although MRI and nuclear imaging are also utilized. Key management strategies include decongestive therapies, ionotropic therapy, and RAAS inhibition, with specific treatment algorithms suggested by the cardio-renal dysfunction study group.[2]Reference(s):1. https://pmc.ncbi.nlm.nih.gov/articles/PMC9179008/2. https://www.ahajournals.org/doi/10.1161/CIR.0000000000001063 ",328,103,"0,0,0,0,0,0,0"
46068,8630,Conventional and Novel Therapies for Treating Iron Deficiency Anemia in ND-CKD,"Iron deficiency anemia (IDA) is a common complication in non-dialysis chronic kidney disease (ND-CKD) patients, often exacerbated by inflammation and impaired iron utilization. Treatment strategies involve identifying absolute vs. functional iron deficiency using indicators like TSAT and ferritin levels.[1] Conventional therapies include oral iron supplements and intravenous (IV) iron, but these come with risks such as iron overload and oxidative stress. Novel therapies include ferric citrate (FC), which regulates iron absorption and is FDA-approved for ND-CKD patients, ferric maltol for patients with inflammatory bowel disease, and ferric pyrophosphate citrate (FPC), which is delivered via dialysate for hemodialysis patients. Liposomal and Sucrosomial iron offer promising results by bypassing the gastrointestinal tract, reducing side effects, and improving hemoglobin levels.[2] These emerging therapies provide safer, more effective alternatives for managing IDA in CKD.Reference(s):1. https://karger.com/aha/article-abstract/142/1/44/15533/Iron-Deficiency-Anemia-in-Chronic-Kidney-Disease?redirectedFrom=fulltext 2. https://pmc.ncbi.nlm.nih.gov/articles/PMC10305423/",487,45,"0,0,0,0,0,0,0"
