type_id,views,reads,date_Data
35390,446,121,"0,0,0,0,0,0,0"
8897,476,132,"0,0,0,0,0,0,0"
35717,305,67,"0,0,0,0,0,0,0"
8647,324,55,"0,0,0,0,0,0,0"
10410,151,14,"7,0,0,0,0,0,0"
10399,791,39,"0,0,2,1,1,1,1"
35407,403,58,"0,0,0,0,0,0,0"
35662,440,74,"0,0,0,0,0,0,0"
35291,461,44,"0,0,0,0,0,0,0"
8611,229,75,"0,0,0,0,0,0,0"
8893,570,168,"0,0,0,0,0,0,0"
8889,192,29,"0,0,0,0,0,0,0"
8630,487,45,"0,0,0,0,0,0,0"
35406,1135,154,"0,0,0,0,0,0,0"
8689,791,216,"0,0,0,0,0,0,0"
8766,1258,392,"0,0,0,0,0,0,0"
8684,491,145,"0,0,0,0,0,0,0"
8624,164,63,"0,0,0,0,0,0,0"
35720,1435,398,"0,0,0,0,0,0,0"
35225,5684,192,"0,0,0,0,0,0,0"
35446,802,100,"0,0,0,0,0,0,0"
35547,833,115,"0,0,0,0,0,0,0"
8648,432,184,"0,0,0,0,0,0,0"
35763,689,219,"0,0,0,0,0,0,0"
35668,765,226,"0,0,0,0,0,0,0"
35289,1294,155,"0,0,0,0,0,0,0"
35748,1489,413,"0,0,0,0,0,0,0"
9206,768,232,"0,0,0,0,0,0,0"
8656,435,48,"0,0,0,0,0,0,0"
35666,1354,394,"0,0,0,0,0,0,0"
8885,713,234,"0,0,0,0,0,0,0"
35546,635,80,"0,0,0,0,0,0,0"
8898,265,88,"0,0,0,0,0,0,0"
8634,329,80,"0,0,0,0,0,0,0"
35746,386,108,"0,0,0,0,0,0,0"
8659,134,39,"0,0,0,0,0,0,0"
8616,519,191,"0,0,0,0,0,0,0"
8632,357,76,"0,0,0,0,0,0,0"
35412,843,108,"0,0,0,0,0,0,0"
35760,837,265,"0,0,0,0,0,0,0"
8765,102,36,"0,0,0,0,0,0,0"
35671,2061,622,"0,0,0,0,0,0,0"
35388,808,92,"0,0,0,0,0,0,0"
8613,332,65,"0,0,0,0,0,0,0"
35391,853,109,"0,0,0,0,0,0,0"
8657,137,25,"0,0,0,0,0,0,0"
35410,668,88,"0,0,0,0,0,0,0"
8687,1006,287,"0,0,0,0,0,0,0"
35178,6697,291,"0,0,0,0,0,0,0"
35431,801,109,"0,0,0,0,0,0,0"
35292,424,44,"0,0,0,0,0,0,0"
9204,1258,289,"0,0,0,0,0,0,0"
35675,610,107,"0,0,0,0,0,0,0"
35721,1289,282,"0,0,0,0,0,0,0"
35663,1452,448,"0,0,0,0,0,0,0"
35664,346,74,"0,0,0,0,0,0,0"
8686,907,252,"0,0,0,0,0,0,0"
8896,240,51,"0,0,0,0,0,0,0"
8758,674,205,"0,0,0,0,0,0,0"
10413,808,25,"3,1,1,0,4,10,0"
35747,483,133,"0,0,0,0,0,0,0"
8903,1075,313,"0,0,0,0,0,0,0"
9161,774,232,"0,0,0,0,0,0,0"
35394,825,106,"0,0,0,0,0,0,0"
35693,268,87,"0,0,0,0,0,0,0"
35433,1091,153,"0,0,0,0,0,0,0"
8899,786,214,"0,0,0,0,0,0,0"
8622,2032,639,"0,0,0,0,0,0,0"
35434,720,103,"0,0,0,0,0,0,0"
35413,1341,179,"0,0,0,0,0,0,0"
35672,837,241,"0,0,0,0,0,0,0"
8633,204,52,"0,0,0,0,0,0,0"
10414,466,35,"1,0,5,21,0,0,1"
8760,1183,398,"0,0,0,0,0,0,0"
8646,335,70,"0,0,0,0,0,0,0"
35759,1008,308,"0,0,0,0,0,0,0"
35665,1032,302,"0,0,0,0,0,0,0"
8615,138,27,"0,0,0,0,0,0,0"
35393,644,86,"0,0,0,0,0,0,0"
8902,86,24,"0,0,0,0,0,0,0"
8763,1401,442,"0,0,0,0,0,0,0"
8683,356,76,"0,0,0,0,0,0,0"
8642,662,35,"0,0,0,0,0,0,0"
35549,1279,137,"0,0,0,0,0,0,0"
9202,810,174,"0,0,0,0,0,0,0"
8882,173,58,"0,0,0,0,0,0,0"
35719,354,80,"0,0,0,0,0,0,0"
35396,417,53,"0,0,0,0,0,0,0"
35398,539,61,"0,0,0,0,0,0,0"
8631,229,52,"0,0,0,0,0,0,0"
8629,328,103,"0,0,0,0,0,0,0"
8900,255,66,"0,0,0,0,0,0,0"
35411,497,70,"0,0,0,0,0,0,0"
35758,352,115,"0,0,0,0,0,0,0"
8612,217,79,"0,0,0,0,0,0,0"
10398,792,37,"0,0,0,1,1,0,0"
8614,187,36,"0,0,0,0,0,0,0"
8887,427,86,"0,0,0,0,0,0,0"
35677,653,88,"0,0,0,0,0,0,0"
8762,556,172,"0,0,0,0,0,0,0"
35670,748,221,"0,0,0,0,0,0,0"
8895,91,30,"0,0,0,0,0,0,0"
8643,199,64,"0,0,0,0,0,0,0"
9162,873,261,"0,0,0,0,0,0,0"
8901,287,34,"0,0,0,0,0,0,0"
35694,352,59,"0,0,0,0,0,0,0"
8892,142,45,"0,0,0,0,0,0,0"
10400,1682,28,"0,0,0,0,0,0,2"
35660,586,85,"0,0,0,0,0,0,0"
35395,365,55,"0,0,0,0,0,0,0"
35405,1440,184,"0,0,0,0,0,0,0"
35409,1103,160,"0,0,0,0,0,0,0"
35661,345,53,"0,0,0,0,0,0,0"
9208,607,170,"0,0,0,0,0,0,0"
8641,210,43,"0,0,0,0,0,0,0"
8890,1230,362,"0,0,0,0,0,0,0"
35695,513,77,"0,0,0,0,0,0,0"
10415,1730,28,"0,0,1,2,8,0,0"
10411,351,23,"3,12,0,2,1,0,0"
35478,1178,158,"0,0,0,0,0,0,0"
10412,266,20,"1,5,11,0,0,0,0"
35389,947,105,"0,0,0,0,0,0,0"
35392,923,122,"0,0,0,0,0,0,0"
8658,137,44,"0,0,0,0,0,0,0"
