link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculture,Concept
https://en.wikipedia.org/wiki/Artificial_intelligence,Agriculture,Concept
https://en.wikipedia.org/wiki/Climate_change,Agriculture,Concept
https://en.wikipedia.org/wiki/Machine_learning,Agriculture,Concept
https://en.wikipedia.org/wiki/Computer_vision,Agriculture,Concept
https://en.wikipedia.org/wiki/Data_science,Agriculture,Concept
https://en.wikipedia.org/wiki/Internet_of_things,Agriculture,Concept
https://en.wikipedia.org/wiki/Blockchain,Agriculture,Concept
https://en.wikipedia.org/wiki/Cybersecurity,Agriculture,Concept
https://en.wikipedia.org/wiki/Quantum_computing,Agriculture,Concept
