link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,greenhouse gas emissions,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,water scarcity,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,water pollution,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,land degradation,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,deforestation,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,AgriculturalMethod
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,AgriculturalMethod
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,AgriculturalMethod
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,land sparing,Strategy
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic certification,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Standard
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Standard
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Standard
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Standard
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Standard
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community (4C),Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,nutrient cycling,AgriculturalProcess
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil regeneration,AgriculturalProcess
https://en.wikipedia.org/wiki/Sustainable_agriculture,nitrogen fixation,AgriculturalProcess
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI-controlled irrigation systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Artificial intelligence (AI) mobile soil analysis,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agrivoltaics,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil erosion,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,salinization,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,nutrient depletion,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,eutrophication,EnvironmentalIssue
https://en.wikipedia.org/wiki/Sustainable_agriculture,nitrates,Nutrient
https://en.wikipedia.org/wiki/Sustainable_agriculture,phosphorus,Nutrient
https://en.wikipedia.org/wiki/Sustainable_agriculture,phosphate,Nutrient
https://en.wikipedia.org/wiki/Sustainable_agriculture,potassium,Nutrient
https://en.wikipedia.org/wiki/Sustainable_agriculture,potassium chloride (KCl),Chemical
https://en.wikipedia.org/wiki/Sustainable_agriculture,chloride (Clˉ),Chemical
https://en.wikipedia.org/wiki/Sustainable_agriculture,rock phosphate,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,biochar,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,Haber process,IndustrialProcess
