link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming,Activity
https://en.wikipedia.org/wiki/Sustainable_agriculture,food systems,System
https://en.wikipedia.org/wiki/Sustainable_agriculture,textile needs,Need
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,greenhouse gas emissions,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,water scarcity,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,water pollution,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,land degradation,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,deforestation,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil,Natural Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Natural Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,land sparing,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,conventional intensive agriculture,Farming Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable diets,Dietary Pattern
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic certification,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,indigenous communities,Group
https://en.wikipedia.org/wiki/Sustainable_agriculture,carrying capacity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,planetary boundaries,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,reconciliation ecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,appropriate technology,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,resource optimization,AI Application
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop health monitoring,AI Application
https://en.wikipedia.org/wiki/Sustainable_agriculture,yield prediction,AI Application
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI-controlled irrigation systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,mobile soil analysis,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil fertility,Soil Property
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil nutrient levels,Soil Property
https://en.wikipedia.org/wiki/Sustainable_agriculture,weeds,Pest
https://en.wikipedia.org/wiki/Sustainable_agriculture,pests,Pest
https://en.wikipedia.org/wiki/Sustainable_agriculture,plant disease,Disease
