link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Wikipedia,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,shade-grown coffee,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,polyculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural ecosystems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Trees,Other
https://en.wikipedia.org/wiki/Sustainable_agriculture,coffee plants,Crop
https://en.wikipedia.org/wiki/Sustainable_agriculture,farmers,Other
https://en.wikipedia.org/wiki/Sustainable_agriculture,coffee,Crop
https://en.wikipedia.org/wiki/Sustainable_agriculture,timber,Other
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,flexible business processes,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental footprint,Measurement
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,anthropogenic greenhouse gas emissions,Measurement
https://en.wikipedia.org/wiki/Sustainable_agriculture,scarcity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,water pollution,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,land degradation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,deforestation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,environment friendly methods of farming,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crops,Crop
https://en.wikipedia.org/wiki/Sustainable_agriculture,livestock,Other
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,water,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land sparing,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,conventional intensive agriculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural habitats,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable farming practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,dietary shifts,Process
