link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Shade-grown coffee,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Polyculture,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Climate change,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Greenhouse gas emissions,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water scarcity,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water pollution,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land degradation,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Deforestation,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Permaculture,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agroforestry,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Mixed farming,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Multiple cropping,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Crop rotation,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land sparing,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Organic certification,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community (4C),Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,Indigenous communities,Group
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nutrient cycling,Ecological Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Soil regeneration,Ecological Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrogen fixation,Ecological Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Pest management,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Irrigation,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Reconciliation ecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI-controlled irrigation systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Artificial intelligence (AI) mobile soil analysis,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agroecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Digitalization,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Precision breeding,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agrivoltaics,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Erosion,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Salinization,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Eutrophication,Environmental Issue
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrates,Chemical
https://en.wikipedia.org/wiki/Sustainable_agriculture,Phosphate,Chemical
https://en.wikipedia.org/wiki/Sustainable_agriculture,Potassium,Chemical
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrogen-fixing bacteria,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rhizobia,Organism
